DWLUN,RDOS,YRBLT,TOTFIXT,HEATING,WBFPSTK,BMNTGAR,ATTFRGAR,TOTLIVAR,DECKOFP,ENCLPOR,NBHDGRP,RECROOM,FINBSMT,GRADE,CDU,TOTOBY,SALEPRIC 
1,21,1900,5,2,no,0,0,1098,58,0,2,0,0,0.92,5,0,103000
2,0,1900,10,2,no,0,0,2112,232,72,1,0,0,1.08,4,0,162000
1,1,1959,7,2,no,0,0,1110,20,77,1,288,0,1,4,420,160500
2,19,1910,10,2,no,0,0,1634,120,98,1,0,0,1.08,4,5530,170000
1,10,1900,8,2,no,0,0,1808,0,0,1,0,0,1,4,0,170000
1,12,1900,5,2,no,0,0,1336,0,273,1,0,0,1.08,4,4460,145000
2,6,1900,10,2,no,0,0,1913,280,184,1,0,0,1.08,4,0,182000
2,14,1900,10,2,no,0,0,2381,0,105,1,0,0,1.08,5,0,165000
3,0,1900,15,2,no,0,0,3942,225,80,1,0,0,1,4,0,240000
1,14,1925,5,2,no,0,0,1278,112,104,1,0,0,1,4,0,160000
1,12,1910,8,2,no,0,0,1358,95,0,1,0,0,1,4,0,154000
1,21,1900,5,2,no,0,0,1519,102,168,1,0,0,1.08,4,2630,151000
1,15,1900,5,2,no,0,0,1692,54,182,1,0,0,1,4,4690,161000
3,2,1900,15,2,no,0,0,3174,594,0,1,0,0,1.08,4,0,220000
3,20,1900,17,2,no,0,0,2442,336,72,1,0,0,1.08,4,3390,202500
1,19,1910,5,2,no,0,0,915,0,150,1,120,0,1,4,0,137000
1,6,1900,5,2,no,0,0,1398,156,24,1,0,0,1.08,5,0,135000
2,16,1907,11,2,no,0,0,2773,228,20,1,0,0,1,4,0,198000
2,18,1900,12,2,no,0,0,2231,328,0,1,0,300,1.08,4,0,175000
2,19,1890,10,2,no,0,0,2447,220,0,1,0,0,1,4,0,160000
3,9,1900,15,2,no,0,0,3480,197,0,1,0,0,1,4,0,200000
1,6,1900,9,2,no,0,0,2006,0,0,1,0,0,1.08,4,5780,158000
1,7,1900,5,2,no,0,0,1404,77,0,1,0,0,1.08,4,3240,125000
2,2,1954,10,2,no,0,0,1747,0,281,1,0,672,1.08,4,6880,170000
3,10,1920,14,2,no,0,0,2642,64,224,1,0,0,1.08,4,0,205000
1,7,1925,8,2,no,0,0,1975,89,0,1,0,0,1,4,0,155000
1,4,1900,7,2,no,0,0,1440,0,188,1,0,0,1.08,4,0,145000
2,10,1900,8,2,no,0,120,2636,716,0,1,0,0,1.08,5,0,250000
1,16,1920,7,2,no,0,0,1652,0,126,1,0,0,1,4,0,155000
1,23,1925,7,2,no,0,0,1260,84,32,1,0,0,1,5,0,128000
1,6,1900,5,2,no,0,0,871,92,40,1,0,0,1,5,0,128800
2,17,1887,10,2,no,0,0,2338,110,0,1,0,0,1,4,6040,175000
2,16,1910,10,2,no,0,0,2012,316,120,1,0,0,1,4,0,170000
1,12,1910,7,2,no,0,0,1317,0,25,1,300,0,1,4,0,155000
1,3,1900,5,2,no,0,0,1563,96,140,1,0,0,1.08,4,3690,135000
2,11,1980,10,2,no,0,0,2050,738,0,1,200,0,1,4,0,180000
2,12,1900,10,2,no,0,0,2644,176,40,1,0,0,1.08,3,0,190000
1,7,1892,7,2,yes,0,0,2743,334,0,1,0,0,1.08,5,5480,170000
3,23,1900,15,2,no,0,0,3516,504,0,1,0,0,1,4,0,205000
1,8,1890,5,2,no,0,0,1380,108,0,1,0,0,1,4,0,160000
2,19,1920,10,2,no,2,0,2105,254,55,1,0,0,1,4,0,178000
1,20,1900,7,2,no,0,0,1193,0,48,1,0,0,1,4,0,140000
2,22,1920,9,2,no,0,0,2430,90,0,1,0,0,1,4,0,172000
2,23,1900,10,2,no,0,0,1832,0,240,1,0,0,1,4,0,175000
1,2,1955,5,2,no,1,0,768,77,20,1,0,0,1.08,4,0,132000
1,15,1910,5,3,no,0,0,1182,292,0,1,0,0,1.08,4,510,160000
1,4,1907,5,2,no,0,0,1105,0,0,1,0,0,1.08,4,0,136000
1,20,1955,5,2,no,0,0,1361,30,0,1,0,0,1,4,3700,155000
1,1,1890,5,2,no,0,0,1432,72,97,1,0,0,1,4,3390,155000
1,1,1955,5,2,no,0,0,1204,35,120,1,0,0,1,4,3520,153000
2,23,1880,10,2,no,0,0,2240,187,0,1,0,0,1.08,4,0,180000
1,6,1910,5,2,no,0,0,1563,16,185,1,0,0,1,4,4260,139900
3,5,1900,15,2,no,0,0,3417,90,45,1,0,0,1.08,4,4200,205000
1,18,1930,5,2,no,0,0,1160,0,114,1,0,0,1,4,0,146000
1,19,1915,7,2,no,0,0,1176,174,114,1,0,0,1,4,0,146000
1,5,1925,8,2,no,0,0,1375,54,0,1,624,0,1,4,0,147000
1,18,1955,5,2,yes,1,0,987,28,20,1,345,0,1,4,0,155000
1,23,1930,6,2,no,1,56,1372,312,0,1,0,0,1,4,0,160000
1,4,1950,7,2,no,0,0,1134,30,84,1,0,0,1,4,0,162000
2,7,1900,10,2,no,0,0,3522,271,112,1,0,0,1.08,4,0,175000
3,18,1902,15,2,no,0,0,2864,324,0,1,0,0,1,4,0,180000
2,17,1927,10,2,no,2,0,2200,366,0,1,0,0,1.08,4,0,178000
1,12,1900,5,3,no,0,0,1080,178,0,2,0,0,1,4,0,130000
2,22,1900,10,2,no,0,0,2398,406,0,1,0,0,1.08,4,0,195000
2,17,1900,12,2,no,0,0,2264,48,0,1,0,0,1.08,3,0,185000
1,18,1890,7,2,no,0,0,1125,56,0,2,0,0,1,4,290,130000
2,10,1875,10,2,no,0,0,2663,0,218,1,0,0,1.08,4,0,185000
2,3,1900,12,2,no,0,0,2033,186,60,1,0,0,1,4,0,162500
1,16,1900,5,2,no,0,0,1038,52,98,1,0,0,1,4,0,117500
2,21,1900,10,2,no,0,0,2496,336,0,1,0,0,1,4,1390,202500
1,8,1950,7,2,yes,0,0,1355,30,78,1,0,0,1,3,0,150000
2,12,1900,10,2,no,0,0,1390,40,0,1,0,0,1.08,5,620,160000
1,1,1910,5,2,no,0,0,1492,49,0,1,0,0,1,4,2530,145000
1,12,1900,7,2,no,0,0,991,156,36,1,0,0,1,4,0,145575
2,7,1890,10,2,no,0,0,2645,77,120,1,0,0,1.08,5,0,179900
1,14,1915,5,2,no,0,0,1260,40,126,1,0,0,1.08,4,0,142000
2,3,1900,10,2,no,0,0,1534,0,452,1,0,0,1.08,4,0,165000
2,6,1900,12,2,no,0,0,2508,0,144,1,560,0,1.08,4,0,180000
2,14,1930,10,2,no,2,0,2490,174,90,1,0,0,1.08,4,0,212500
1,19,1962,8,2,no,0,0,1164,20,124,1,300,0,1,3,0,145000
1,13,1920,5,2,no,0,0,1440,24,0,1,0,0,1,4,2790,140000
2,6,1880,14,2,no,0,0,2868,0,126,1,0,0,1,4,0,165000
1,9,1910,5,2,no,0,0,1845,242,0,1,0,0,1.08,4,0,165000
1,13,1962,7,2,no,0,0,1539,20,96,1,200,0,1.08,3,0,165000
1,4,1900,5,2,no,0,0,1269,0,0,1,0,0,1,4,1740,142000
1,15,1910,5,2,no,0,0,848,208,0,1,0,0,1,4,0,125000
2,17,1920,10,2,no,0,0,1736,0,117,1,0,324,1.08,4,3450,157000
1,8,1920,10,2,no,0,0,1274,0,165,1,0,0,1,4,4600,155000
2,2,1900,10,2,no,0,0,2156,55,252,1,0,0,1.08,4,0,166000
3,7,1910,15,2,no,0,0,1830,356,0,1,0,0,1,4,0,162500
2,20,1900,10,2,no,0,0,2780,310,96,1,0,0,1.08,4,0,215000
1,8,1950,9,2,no,0,0,1260,0,35,1,360,0,1.08,4,670,170000
2,13,1925,10,2,no,0,0,2324,0,0,1,0,810,1,4,0,160000
1,6,1900,8,2,no,0,0,1214,49,0,2,0,0,1,5,0,120000
3,6,1907,15,2,no,0,0,3221,90,266,1,0,0,1,4,0,206750
2,15,1895,12,2,no,0,0,2616,120,0,1,0,0,1,4,300,177000
2,16,1900,10,2,no,0,0,2407,144,0,1,0,0,1.08,4,0,172000
2,23,1920,10,2,no,0,0,1760,220,0,1,0,0,1,4,0,155000
1,0,1907,9,2,no,0,0,2192,173,0,1,672,0,1.08,4,0,160000
1,8,1925,5,2,no,0,0,1364,182,24,1,0,0,1,4,4800,155000
2,17,1910,10,2,no,0,0,2736,192,132,1,0,0,1.08,4,5260,190000
3,11,1900,15,2,no,0,0,2754,364,0,1,0,0,1.08,4,0,180000
2,14,1925,12,2,no,0,0,2072,132,0,1,0,0,1.08,4,0,173000
1,20,1929,7,2,no,0,0,1080,0,120,1,360,0,1.08,4,0,150800
1,2,1910,5,2,no,0,0,1082,90,0,2,0,0,1,4,0,125000
1,14,1957,5,2,no,0,0,1142,0,84,1,0,0,1,4,0,134000
3,4,1900,10,2,no,0,0,3850,502,0,1,0,0,1.08,4,16400,220000
1,12,1900,6,2,no,0,0,1098,100,0,1,418,0,1,4,0,140000
3,16,1900,15,2,no,0,0,2997,250,140,1,0,0,1,5,0,172000
1,22,1945,7,2,no,0,0,1344,40,0,1,225,0,1.08,4,1080,166666
2,14,1920,12,2,no,0,0,3131,426,0,1,0,0,1.08,4,0,206000
1,22,1910,5,2,yes,0,0,1827,168,0,1,0,0,1.08,4,0,140000
1,4,1870,5,2,yes,0,0,1833,0,80,1,0,0,1,4,4180,150000
2,0,1920,10,2,no,0,0,2250,78,104,1,0,0,1,4,4990,187000
2,18,1920,10,2,no,0,0,2146,152,0,1,0,0,1,4,670,187000
2,19,1910,10,2,no,0,0,2135,99,64,1,0,0,1,4,0,175000
3,22,1900,15,2,no,0,0,4038,374,0,1,0,0,1,4,0,225000
1,18,1930,7,2,yes,0,0,1428,8,144,1,0,0,1,4,0,157000
1,20,1982,10,2,no,0,0,1934,84,0,2,154,0,1,4,0,150000
2,12,1900,10,2,no,0,0,2072,336,336,1,0,0,1,4,3600,162000
2,5,1900,10,2,no,0,0,2112,304,0,1,0,0,1,5,0,174500
3,2,1902,15,2,no,0,0,3696,396,42,1,0,0,1.08,4,4870,220000
1,22,1955,8,2,no,0,0,1430,180,0,1,0,0,1,3,0,168000
1,17,1925,5,2,no,0,0,1294,188,0,1,0,0,1.08,4,0,155000
2,2,1986,10,2,no,2,0,2576,0,0,1,0,0,1.08,3,0,223000
1,21,1952,7,2,no,0,0,1323,0,84,1,0,0,1.08,3,5520,179900
3,11,1900,15,2,no,0,0,3654,390,0,1,0,0,1,4,0,232000
2,14,1900,10,2,no,0,0,3128,306,90,1,360,0,1.08,5,0,225000
1,4,1870,5,2,no,0,0,1324,181,0,1,0,0,1,4,3670,136000
2,17,1910,13,2,no,0,0,2074,48,0,1,0,0,1,4,0,178000
1,17,1925,5,2,yes,1,0,1210,0,181,1,0,0,1.08,4,0,145000
3,19,1900,15,2,no,0,0,2112,304,0,1,0,0,1.08,5,0,170000
3,14,1900,15,2,no,0,0,2730,67,100,2,0,0,0.85,5,0,200000
1,17,1935,5,2,no,0,0,1681,39,0,1,0,0,1.08,4,530,155000
3,9,1900,15,2,no,0,0,3658,474,0,1,0,0,1.08,4,3060,230000
1,6,1900,5,2,no,0,0,1036,88,35,1,0,0,1,5,0,128000
1,1,1890,5,2,no,0,0,1244,0,168,1,0,0,1,5,0,115000
2,17,1850,10,2,no,0,0,2250,72,292,1,0,0,1.08,4,4000,193000
1,16,1950,5,2,no,0,0,1248,16,84,1,0,576,1,4,0,150000
3,3,1925,15,2,no,0,0,3636,355,0,1,0,0,1.08,5,1260,187900
2,12,1900,10,2,no,0,0,2361,353,0,1,0,0,1,4,0,192000
1,7,1940,5,2,no,0,0,714,0,154,1,0,0,1,4,0,118000
1,5,1900,5,2,no,0,0,1197,45,0,1,0,0,1,4,5890,155000
3,18,1900,15,2,no,0,0,3681,693,0,1,0,0,1,5,0,190000
1,19,1949,5,2,no,0,0,1091,0,0,1,0,0,1.08,4,0,155000
1,12,1953,5,2,no,0,0,768,0,24,1,0,0,1.08,4,0,136500
2,3,1890,10,2,no,0,0,1429,55,48,1,0,0,1.08,4,1360,153000
1,19,1929,7,2,no,0,0,1284,84,0,1,0,0,1.08,4,170,147500
2,23,1920,9,2,no,0,0,2491,140,0,1,0,0,1,4,0,185000
2,4,1922,10,2,no,0,0,1976,524,0,1,0,0,1.08,5,0,157500
2,9,1925,10,2,no,2,0,2760,272,0,1,0,0,1.08,4,0,208000
2,10,1900,10,2,no,0,0,2208,138,0,1,0,120,1.08,4,0,183500
3,10,1900,15,2,no,0,0,3212,144,426,1,0,0,1,4,0,228000
1,19,1950,7,2,no,0,0,966,0,115,1,0,0,1,4,0,140000
2,10,1900,10,2,no,0,0,3097,0,0,2,0,0,1,4,4860,175000
1,18,1953,5,2,no,0,0,1344,32,0,1,0,576,1.08,4,0,150000
3,17,1900,15,2,no,0,0,2442,156,0,1,0,0,1,4,0,199900
3,4,1900,15,2,no,0,0,3185,306,0,1,0,0,1.08,4,0,239900
3,6,1912,15,2,no,0,0,3387,197,240,1,0,0,1.08,4,0,210000
3,18,1900,15,2,no,0,0,3339,234,330,1,0,0,1,4,0,230000
3,12,1910,15,2,no,0,0,3321,261,243,1,0,0,1,5,220,230000
1,8,1930,5,2,no,0,0,1507,65,0,2,0,0,0.92,4,3090,121000
1,23,1895,8,2,no,0,0,1789,85,0,1,0,0,1.08,3,1760,156000
1,11,1900,10,2,no,0,0,2847,364,0,1,0,0,1.08,3,0,195000
3,3,1890,15,2,no,0,0,4185,573,0,1,0,0,1,4,0,235000
3,23,1890,15,2,yes,0,0,2695,278,340,1,0,0,1.08,4,0,220000
1,18,1930,6,2,yes,0,0,1248,35,84,1,0,0,1,3,2740,171000
1,18,1947,7,3,no,0,0,1648,0,64,1,0,420,1,4,0,187000
1,21,1910,7,2,no,0,0,1362,0,184,1,0,0,1,4,0,141000
2,7,1962,10,2,yes,0,228,1746,85,80,1,0,754,1,3,0,195000
1,0,1900,5,2,no,0,0,1228,110,0,1,0,0,1.08,4,900,155000
2,4,1920,10,2,no,0,0,2554,182,264,1,0,0,1,4,2350,222000
1,3,1955,5,2,no,0,0,910,0,0,1,0,0,1.08,4,0,149500
1,1,1900,5,2,no,0,0,1594,162,0,1,0,0,1,4,0,165900
1,13,1920,5,2,no,0,0,1435,0,162,1,200,0,1,4,0,155000
1,10,1890,5,2,no,0,0,1409,55,196,1,0,0,1,4,4450,140000
1,8,1951,5,2,no,0,0,893,0,32,1,0,0,1.08,4,0,138500
2,0,1927,10,2,no,0,0,2064,272,80,1,0,0,1,5,790,155000
2,2,1900,10,2,no,0,0,1574,90,0,1,0,0,1,4,0,169000
2,22,1910,10,2,no,0,0,2912,144,144,1,0,0,1,4,0,200000
2,22,1900,10,2,no,0,0,1901,110,0,1,0,0,1.08,4,5200,186500
3,7,1900,15,2,no,0,0,3570,318,0,1,0,0,1,4,0,200000
2,12,1907,10,2,no,0,0,2332,238,78,1,0,0,1,4,0,173000
1,3,1899,6,2,no,0,0,1536,128,0,2,0,0,1,5,0,120000
3,17,1900,15,2,no,0,0,3480,288,0,1,0,0,1.08,4,0,200000
1,15,1955,7,2,yes,0,0,1290,72,174,1,216,0,1.08,4,13020,160500
1,17,1900,5,2,no,0,0,1886,24,84,1,0,0,1,4,3250,175000
2,19,1930,12,2,no,0,0,2300,346,0,1,0,0,1,4,0,200000
3,20,1885,15,2,no,0,0,2936,247,184,1,0,0,1.08,4,0,236000
1,17,1967,7,2,no,0,0,1430,0,0,1,0,0,1.08,4,2770,155000